TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor  
3,Primal,PRML,3.png
4,Open Mouth Gang,OMG,4.png
5,Peto,PETO,5.png
6,Line And Pull,LIPU,6.png
7,Sneaky Peaky Ninjas,SPN,7.png
8,Lamborghini Leglock,LALE,8.png
9,PHYTYI,THYI,9.png
10,Burger Brothers,BROS,10.png
11,KPKV,KPKV,11.png
12,Nopeet Lootit,NOLO,12.png
13,OIP,OIP,13.png
14,Savutta Safe,SAFE,14.png
15,Niskaveto,NIVE,15.png
16,Rotta eSports,RATS,16.png
17,Cumback eSprouts,CUM,17.png
18,Ballet Bois,BBS,18.png
19,Findictus,FIN,19.png
